"","country","years.new","phase","Region.Name","Sub.region.Name","Intermediate.Region.Name","ISO.alpha3.Code","total.cases","valid.cases","urban.wife","urban.both","urban.husband","urban.other","urban.missing","rural.wife","rural.both","rural.husband","rural.other","rural.missing"
"47","Ghana","2003",4,"Africa","Sub-Saharan Africa","Western Africa","GHA",5691,892,43.072901,352.745909,50.219852,0.281387,4.489487,85.240306,294.990243,48.258298,2.839461,11.283043
"48","Guatemala","2014",7,"Americas","Latin America and the Caribbean","Central America","GTM",25914,8967,906.900924,3026.685093,292.830582,11.507949,NA,685.742899,3662.810804,467.618224,15.773498,NA
"49","Guinea","2012",6,"Africa","Sub-Saharan Africa","Western Africa","GIN",9142,370,90.511565,53.730468,17.788551,0,NA,101.022209,87.768629,11.689649,0.808282,NA
"50","Guinea","2005",5,"Africa","Sub-Saharan Africa","Western Africa","GIN",7954,558,147.097974,57.15629,24.899331,4.66274,NA,186.238242,96.558345,28.720036,2.888935,NA
"51","Guyana","2009",5,"Americas","Latin America and the Caribbean","South America","GUY",4996,1211,71.935043,163.009723,33.963766,1.846681,8.185871,203.636082,637.776957,70.682799,8.945755,40.388035
"52","Haiti","2012",6,"Americas","Latin America and the Caribbean","Caribbean","HTI",14287,2692,407.298819,689.327544,116.106135,1.553077,2.997046,401.044833,951.124236,106.355887,7.541494,10.641819
"53","Haiti","2005",5,"Americas","Latin America and the Caribbean","Caribbean","HTI",10757,2021,151.532835,759.4324,39.647232,0,8.577306,125.895657,873.031672,53.778244,2.137066,11.182528
"54","Haiti","2000",4,"Americas","Latin America and the Caribbean","Caribbean","HTI",10159,1639,172.594341,424.997154,51.961552,3.022829,NA,260.999466,656.059948,92.470077,1.376409,NA
"55","Honduras","2011",6,"Americas","Latin America and the Caribbean","Central America","HND",22757,9419,1099.256521,3053.349679,558.250196,30.497591,6.336594,711.929642,3399.852613,508.743575,28.524424,10.6707
"56","Honduras","2005",5,"Americas","Latin America and the Caribbean","Central America","HND",19948,7299,740.877264,3006.642888,183.319206,15.557572,29.373045,491.413321,2762.085912,313.931661,17.939664,14.203488
"57","India","2005",5,"Asia","Southern Asia","","IND",124385,50639,1582.353195,15575.433165,913.495022,95.545878,128.507906,3395.182865,27977.439315,2296.471297,166.613433,317.440435
"58","India","1998",4,"Asia","Southern Asia","","IND",8195,1871,147.245774,318.647415,42.604213,4.943636,5.463333,424.079691,812.81333,162.310536,12.879664,3.121371
